time	V(N001,N002)	V(N002,N003)
3.873578808743294e-03	7.605718e-01	1.774649e-01
3.883344433743294e-03	7.623009e-01	1.767946e-01
3.893110058743294e-03	7.640234e-01	1.761220e-01
3.902875683743294e-03	7.657393e-01	1.754472e-01
3.912641308743294e-03	7.674485e-01	1.747700e-01
3.922406933743293e-03	7.691512e-01	1.740907e-01
3.932172558743293e-03	7.708473e-01	1.734091e-01
3.933393261868293e-03	7.710587e-01	1.733238e-01
3.935834668118293e-03	7.714815e-01	1.731530e-01
3.940717480618293e-03	7.723258e-01	1.728110e-01
3.950483105618293e-03	7.740093e-01	1.721252e-01
3.960248730618293e-03	7.756860e-01	1.714373e-01
3.970014355618293e-03	7.773561e-01	1.707472e-01
3.971235058743292e-03	7.775643e-01	1.706609e-01
3.973676464993293e-03	7.779806e-01	1.704879e-01
3.978559277493293e-03	7.788118e-01	1.701416e-01
3.988324902493292e-03	7.804692e-01	1.694475e-01
3.998090527493292e-03	7.821198e-01	1.687512e-01
4.007856152493292e-03	7.837636e-01	1.680527e-01
4.017621777493292e-03	7.854006e-01	1.673521e-01
4.027387402493292e-03	7.870306e-01	1.666494e-01
4.037153027493291e-03	7.886539e-01	1.659446e-01
4.046918652493291e-03	7.902702e-01	1.652377e-01
4.056684277493291e-03	7.918796e-01	1.645287e-01
4.066449902493291e-03	7.934821e-01	1.638177e-01
4.076215527493291e-03	7.950776e-01	1.631046e-01
4.085981152493290e-03	7.966662e-01	1.623895e-01
4.087201855618290e-03	7.968642e-01	1.623000e-01
4.089643261868291e-03	7.972600e-01	1.621208e-01
4.094526074368290e-03	7.980503e-01	1.617621e-01
4.104291699368290e-03	7.996258e-01	1.610432e-01
4.114057324368290e-03	8.011942e-01	1.603222e-01
4.123822949368290e-03	8.027555e-01	1.595993e-01
4.133588574368290e-03	8.043098e-01	1.588744e-01
4.143354199368289e-03	8.058569e-01	1.581475e-01
4.153119824368289e-03	8.073970e-01	1.574186e-01
4.162885449368289e-03	8.089299e-01	1.566878e-01
4.172651074368289e-03	8.104557e-01	1.559550e-01
4.182416699368289e-03	8.119743e-01	1.552203e-01
4.192182324368288e-03	8.134858e-01	1.544837e-01
4.201947949368288e-03	8.149900e-01	1.537452e-01
4.211713574368288e-03	8.164870e-01	1.530048e-01
4.221479199368288e-03	8.179768e-01	1.522624e-01
4.231244824368287e-03	8.194592e-01	1.515183e-01
4.232465527493287e-03	8.196440e-01	1.514252e-01
4.234906933743288e-03	8.200133e-01	1.512388e-01
4.239789746243288e-03	8.207505e-01	1.508657e-01
4.249555371243287e-03	8.222193e-01	1.501180e-01
4.259320996243287e-03	8.236808e-01	1.493685e-01
4.269086621243287e-03	8.251351e-01	1.486172e-01
4.278852246243287e-03	8.265819e-01	1.478641e-01
4.288617871243286e-03	8.280213e-01	1.471091e-01
4.289838574368286e-03	8.282008e-01	1.470147e-01
4.292279980618287e-03	8.285592e-01	1.468256e-01
4.297162793118287e-03	8.292748e-01	1.464471e-01
4.306928418118286e-03	8.307004e-01	1.456888e-01
4.316694043118286e-03	8.321187e-01	1.449287e-01
4.326459668118286e-03	8.335295e-01	1.441669e-01
4.336225293118286e-03	8.349328e-01	1.434033e-01
4.337445996243285e-03	8.351076e-01	1.433078e-01
4.339887402493286e-03	8.354571e-01	1.431166e-01
4.344770214993286e-03	8.361545e-01	1.427338e-01
4.354535839993286e-03	8.375438e-01	1.419669e-01
4.364301464993285e-03	8.389257e-01	1.411984e-01
4.374067089993285e-03	8.403000e-01	1.404281e-01
4.383832714993285e-03	8.416668e-01	1.396561e-01
4.393598339993285e-03	8.430260e-01	1.388824e-01
4.403363964993284e-03	8.443776e-01	1.381071e-01
4.413129589993284e-03	8.457217e-01	1.373301e-01
4.422895214993284e-03	8.470582e-01	1.365514e-01
