Freq.	V(n003)
2.30409297605586e+03	(1.34760569048326e-01dB,-3.45618103249299e+00°)
2.37137370566167e+03	(1.42795194293328e-01dB,-3.56052763861222e+00°)
2.44061906804200e+03	(1.51311971937552e-01dB,-3.66823687397219e+00°)
2.51188643150960e+03	(1.60340216440185e-01dB,-3.77943647430196e+00°)
2.58523483956221e+03	(1.69911070965828e-01dB,-3.89426074127178e+00°)
2.66072505979883e+03	(1.80057627074816e-01dB,-4.01285101757405e+00°)
2.73841963426438e+03	(1.90815052912933e-01dB,-4.13535620594163e+00°)
2.81838293126447e+03	(2.02220730579965e-01dB,-4.26193333685295e+00°)
2.90068119869317e+03	(2.14314403418629e-01dB,-4.39274819025250e+00°)
2.98538261891798e+03	(2.27138334034276e-01dB,-4.52797597727789e+00°)
3.07255736526747e+03	(2.40737473931538e-01dB,-4.66780208873723e+00°)
3.16227766016840e+03	(2.55159645737922e-01dB,-4.81242291794150e+00°)
3.25461783498048e+03	(2.70455739076874e-01dB,-4.96204676648049e+00°)
3.34965439157830e+03	(2.86679921255306e-01dB,-5.11689484265979e+00°)
3.44746606573152e+03	(3.03889864043638e-01dB,-5.27720236361187e+00°)
3.54813389233578e+03	(3.22146987951625e-01dB,-5.44321977358674e+00°)
3.65174127254840e+03	(3.41516725541518e-01dB,-5.61521409264575e+00°)
3.75837404288447e+03	(3.62068805473067e-01dB,-5.79347041197311e+00°)
3.86812054633055e+03	(3.83877559143682e-01dB,-5.97829355432052e+00°)
3.98107170553500e+03	(4.07022251973417e-01dB,-6.17000992077423e+00°)
4.09732109813545e+03	(4.31587441589763e-01dB,-6.36896954814597e+00°)
4.21696503428585e+03	(4.57663365392919e-01dB,-6.57554840491587e+00°)
4.34010263644747e+03	(4.85346360230081e-01dB,-6.79015095789965e+00°)
4.46683592150966e+03	(5.14739317177815e-01dB,-7.01321304678372e+00°)
4.59726988530876e+03	(5.45952174726546e-01dB,-7.24520510951681e+00°)
4.73151258961484e+03	(5.79102453980077e-01dB,-7.48663580842892e+00°)
4.86967525165867e+03	(6.14315839825489e-01dB,-7.73805611508411e+00°)
5.01187233627276e+03	(6.51726812392905e-01dB,-8.00006392150306e+00°)
5.15822165072310e+03	(6.91479333505860e-01dB,-8.27330925683693e+00°)
5.30884444230992e+03	(7.33727593214817e-01dB,-8.55850020220131e+00°)
5.46386549881858e+03	(7.78636821897044e-01dB,-8.85640961266105e+00°)
5.62341325190353e+03	(8.26384173778336e-01dB,-9.16788277486365e+00°)
5.78761988349125e+03	(8.77159688059974e-01dB,-9.49384615225735e+00°)
5.95662143529015e+03	(9.31167334079559e-01dB,-9.83531739808084e+00°)
6.13055792149826e+03	(9.88626147041550e-01dB,-1.01934168504589e+01°)
6.30957344480198e+03	(1.04977146074295e+00dB,-1.05693807653457e+01°)
6.49381631576217e+03	(1.11485624327749e+00dB,-1.09645765934088e+01°)
6.68343917568620e+03	(1.18415254076578e+00dB,-1.13805206683638e+01°)
6.87859912308813e+03	(1.25795303249869e+00dB,-1.18188987493940e+01°)
7.07945784384144e+03	(1.33657269816870e+00dB,-1.22815899524308e+01°)
7.28618174513234e+03	(1.42035059363431e+00dB,-1.27706947183828e+01°)
7.49894209332462e+03	(1.50965172525361e+00dB,-1.32885676060567e+01°)
7.71791515585019e+03	(1.60486900329370e+00dB,-1.38378558699836e+01°)
7.94328234724288e+03	(1.70642524092656e+00dB,-1.44215449966476e+01°)
8.17523037943657e+03	(1.81477514493909e+00dB,-1.50430126365782e+01°)
8.41395141645202e+03	(1.93040721475434e+00dB,-1.57060926963495e+01°)
8.65964323360073e+03	(2.05384542372001e+00dB,-1.64151517579422e+01°)
8.91250938133753e+03	(2.18565049514807e+00dB,-1.71751804894394e+01°)
9.17275935389788e+03	(2.32642049702383e+00dB,-1.79919033182081e+01°)
9.44060876285932e+03	(2.47679035167756e+00dB,-1.88719103722942e+01°)
9.71627951577115e+03	(2.63742967269268e+00dB,-1.98228165690279e+01°)
1.00000000000001e+04	(2.80903807581099e+00dB,-2.08534537384704e+01°)
1.02920052719444e+04	(2.99233672736623e+00dB,-2.19741027776310e+01°)
1.05925372517730e+04	(3.18805434090687e+00dB,-2.31967739383219e+01°)
1.09018449238514e+04	(3.39690503666094e+00dB,-2.45355442305079e+01°)
1.12201845430197e+04	(3.61955433759393e+00dB,-2.60069611140400e+01°)
1.15478198468947e+04	(3.85656795453771e+00dB,-2.76305202716445e+01°)
1.18850222743703e+04	(4.10833574355969e+00dB,-2.94292206732723e+01°)
1.22320711904994e+04	(4.37496012428742e+00dB,-3.14301894364169e+01°)
1.25892541179418e+04	(4.65609421777295e+00dB,-3.36653471052796e+01°)
1.29568669751703e+04	(4.95071014916721e+00dB,-3.61720425356166e+01°)
1.33352143216334e+04	(5.25677322517860e+00dB,-3.89935125682612e+01°)
1.37246096100758e+04	(5.57079551850325e+00dB,-4.21788971001882e+01°)
1.41253754462277e+04	(5.88724850324859e+00dB,-4.57823458866085e+01°)
1.45378438560768e+04	(6.19784013051705e+00dB,-4.98604850387940e+01°)
1.49623565609445e+04	(6.49072583039595e+00dB,-5.44672213046503e+01°)
1.53992652605951e+04	(6.74984753902570e+00dB,-5.96447437711541e+01°)
1.58489319246113e+04	(6.95478415099346e+00dB,-6.54100715785098e+01°)
1.63117290922785e+04	(7.08168446335245e+00dB,-7.17382397963644e+01°)
1.67880401812258e+04	(7.10583839944834e+00dB,-7.85465413517663e+01°)
1.72782598050788e+04	(7.00592957371752e+00dB,-8.56879004737369e+01°)
1.77827941003894e+04	(6.76894178631179e+00dB,-9.29617592872154e+01°)
1.83020610631107e+04	(6.39369869953373e+00dB,-1.00144175001419e+02°)
1.88364908948982e+04	(5.89120362956802e+00dB,-1.07027474207587e+02°)
1.93865263595223e+04	(5.28158978695069e+00dB,-1.13453187268870e+02°)
1.99526231496890e+04	(4.58929872993592e+00dB,-1.19326700737115e+02°)
