time	V(X,Y)
2.002493862365804e-04	1.192951e+00
2.004987572916205e-04	1.602421e+00
2.009870385416205e-04	2.333909e+00
2.014753197916205e-04	2.976801e+00
2.019636010416205e-04	3.536865e+00
2.024518822916205e-04	4.019714e+00
2.029401635416205e-04	4.430790e+00
2.034284447916205e-04	4.775354e+00
2.039167260416205e-04	5.058477e+00
2.044050072916205e-04	5.285032e+00
2.048932885416205e-04	5.459688e+00
2.053815697916205e-04	5.586906e+00
2.058698510416205e-04	5.670940e+00
2.063581322916205e-04	5.715829e+00
2.068464135416205e-04	5.725405e+00
2.073346947916205e-04	5.703289e+00
2.078229760416205e-04	5.652896e+00
2.083112572916205e-04	5.577438e+00
2.087995385416205e-04	5.479927e+00
2.092878197916205e-04	5.363178e+00
2.097761010416205e-04	5.229818e+00
2.102643822916205e-04	5.082292e+00
2.107526635416205e-04	4.922862e+00
2.112409447916205e-04	4.753622e+00
2.117292260416205e-04	4.576499e+00
2.122175072916205e-04	4.393264e+00
2.127057885416205e-04	4.205533e+00
2.131940697916205e-04	4.014782e+00
2.136823510416205e-04	3.822347e+00
2.141706322916205e-04	3.629435e+00
2.146589135416205e-04	3.437129e+00
2.151471947916205e-04	3.246399e+00
2.156354760416205e-04	3.058102e+00
2.161237572916205e-04	2.872995e+00
2.166120385416205e-04	2.691739e+00
2.171003197916205e-04	2.514904e+00
2.175886010416205e-04	2.342980e+00
2.180768822916205e-04	2.176376e+00
2.185651635416205e-04	2.015434e+00
2.190534447916205e-04	1.860426e+00
2.195417260416205e-04	1.711567e+00
2.200300072916205e-04	1.569016e+00
2.205182885416205e-04	1.432879e+00
2.210065697916205e-04	1.303221e+00
2.214948510416205e-04	1.180062e+00
2.219831322916205e-04	1.063387e+00
2.224714135416205e-04	9.531471e-01
2.229596947916205e-04	8.492634e-01
2.234479760416205e-04	7.516321e-01
2.239362572916205e-04	6.601262e-01
2.244245385416205e-04	5.745995e-01
2.249128197916205e-04	4.948882e-01
2.254011010416205e-04	4.208150e-01
2.258893822916205e-04	3.521909e-01
2.263776635416205e-04	2.888165e-01
2.268659447916205e-04	2.304859e-01
2.273542260416205e-04	1.769871e-01
2.278425072916205e-04	1.281042e-01
2.283307885416205e-04	8.361959e-02
2.288190697916205e-04	4.331398e-02
2.293073510416205e-04	6.968737e-03
2.297956322916205e-04	-2.563298e-02
2.302839135416205e-04	-5.470586e-02
2.307721947916205e-04	-8.046103e-02
2.312604760416205e-04	-1.031055e-01
2.317487572916205e-04	-1.228415e-01
2.322370385416205e-04	-1.398656e-01
2.327253197916205e-04	-1.543688e-01
2.332136010416205e-04	-1.665354e-01
2.337018822916205e-04	-1.765431e-01
2.341901635416205e-04	-1.845630e-01
2.346784447916205e-04	-1.907588e-01
2.351667260416205e-04	-1.952870e-01
2.356550072916205e-04	-1.982967e-01
2.361432885416205e-04	-1.999297e-01
2.366315697916205e-04	-2.003206e-01
2.371198510416205e-04	-1.995964e-01
2.376081322916205e-04	-1.978769e-01
2.380964135416205e-04	-1.952749e-01
2.385846947916205e-04	-1.918963e-01
2.390729760416205e-04	-1.878399e-01
2.395612572916205e-04	-1.831976e-01
2.400495385416205e-04	-1.780558e-01
2.405378197916205e-04	-1.724936e-01
2.410261010416205e-04	-1.665847e-01
2.415143822916205e-04	-1.603968e-01
2.420026635416205e-04	-1.539922e-01
2.424909447916205e-04	-1.474277e-01
2.429792260416205e-04	-1.407551e-01
2.434675072916205e-04	-1.340214e-01
2.439557885416205e-04	-1.272691e-01
2.444440697916205e-04	-1.205364e-01
2.449323510416205e-04	-1.138573e-01
2.454206322916205e-04	-1.072619e-01
2.459089135416205e-04	-1.007771e-01
2.463971947916205e-04	-9.442616e-02
2.468854760416205e-04	-8.822894e-02
2.473737572916205e-04	-8.220291e-02
2.478620385416205e-04	-7.636237e-02
2.483503197916205e-04	-7.071972e-02
2.488386010416205e-04	-6.528413e-02
2.493268822916205e-04	-6.006348e-02
2.498151635416205e-04	-5.506349e-02
2.503034447916205e-04	-5.028784e-02
2.507917260416205e-04	-4.573882e-02
2.512800072916205e-04	-4.141736e-02
2.517682885416205e-04	-3.732276e-02
2.522565697916205e-04	-3.345358e-02
2.527448510416205e-04	-2.980721e-02
2.532331322916205e-04	-2.637959e-02
2.537214135416205e-04	-2.316666e-02
2.542096947916205e-04	-2.016342e-02
2.546979760416205e-04	-1.736391e-02
2.551862572916205e-04	-1.476192e-02
2.556745385416205e-04	-1.235116e-02
2.561628197916205e-04	-1.012444e-02
2.566511010416205e-04	-8.074641e-03
2.571393822916205e-04	-6.194234e-03
2.576276635416205e-04	-4.475713e-03
2.581159447916205e-04	-2.911568e-03
2.586042260416205e-04	-1.494169e-03
2.590925072916205e-04	-2.156496e-04
2.595807885416205e-04	9.316206e-04
2.600690697916205e-04	1.954913e-03
2.605573510416205e-04	2.861738e-03
2.610456322916205e-04	3.659248e-03
2.615339135416205e-04	4.354715e-03
2.620221947916205e-04	4.954934e-03
2.625104760416205e-04	5.466580e-03
2.629987572916205e-04	5.896091e-03
2.634870385416205e-04	6.249905e-03
2.639753197916205e-04	6.533742e-03
2.644636010416205e-04	6.753445e-03
2.649518822916205e-04	6.914616e-03
2.654401635416205e-04	7.022500e-03
2.659284447916205e-04	7.081747e-03
2.664167260416205e-04	7.097483e-03
2.669050072916205e-04	7.073760e-03
2.673932885416205e-04	7.015228e-03
2.678815697916205e-04	6.925464e-03
2.683698510416205e-04	6.808400e-03
2.688581322916205e-04	6.667495e-03
2.693464135416205e-04	6.505966e-03
2.698346947916206e-04	6.326795e-03
2.703229760416206e-04	6.132722e-03
2.708112572916206e-04	5.926371e-03
2.712995385416206e-04	5.710244e-03
2.717878197916206e-04	5.486369e-03
2.722761010416206e-04	5.256772e-03
2.727643822916206e-04	5.023360e-03
2.732526635416206e-04	4.787803e-03
2.737409447916206e-04	4.551411e-03
2.742292260416206e-04	4.315734e-03
2.747175072916206e-04	4.081845e-03
2.752057885416206e-04	3.850818e-03
2.756940697916206e-04	3.623724e-03
2.761823510416206e-04	3.401160e-03
2.766706322916206e-04	3.183961e-03
2.771589135416206e-04	2.972722e-03
2.776471947916206e-04	2.768040e-03
2.781354760416206e-04	2.570152e-03
2.786237572916206e-04	2.379537e-03
2.791120385416206e-04	2.196431e-03
2.796003197916206e-04	2.021074e-03
2.800886010416206e-04	1.853585e-03
2.805768822916206e-04	1.693964e-03
2.810651635416206e-04	1.542330e-03
2.815534447916206e-04	1.398683e-03
2.820417260416206e-04	1.262784e-03
2.825300072916206e-04	1.134753e-03
2.830182885416206e-04	1.014590e-03
2.835065697916206e-04	9.016991e-04
2.839948510416206e-04	7.961988e-04
2.844831322916206e-04	6.978512e-04
2.849714135416206e-04	6.065369e-04
2.854596947916206e-04	5.218983e-04
2.859479760416206e-04	4.435778e-04
2.864362572916206e-04	3.715754e-04
2.869245385416206e-04	3.054142e-04
2.874128197916206e-04	2.450943e-04
2.879011010416206e-04	1.900196e-04
2.883893822916206e-04	1.401901e-04
2.888776635416206e-04	9.512901e-05
2.893659447916206e-04	5.483627e-05
2.898542260416206e-04	1.883507e-05
2.903425072916206e-04	-1.299381e-05
2.908307885416206e-04	-4.112720e-05
