time	I(L1)
1.386102114979051e-04	-1.491112e-03
1.390984927479051e-04	-1.398466e-03
1.395867739979051e-04	-1.307959e-03
1.400750552479051e-04	-1.219852e-03
1.405633364979051e-04	-1.134370e-03
1.410516177479051e-04	-1.051697e-03
1.415398989979051e-04	-9.719848e-04
1.420281802479051e-04	-8.953523e-04
1.425164614979051e-04	-8.218902e-04
1.430047427479051e-04	-7.516625e-04
1.434930239979051e-04	-6.847095e-04
1.439813052479051e-04	-6.210494e-04
1.444695864979051e-04	-5.606810e-04
1.449578677479051e-04	-5.035857e-04
1.454461489979051e-04	-4.497290e-04
1.459344302479051e-04	-3.990629e-04
1.464227114979051e-04	-3.515272e-04
1.469109927479051e-04	-3.070511e-04
1.473992739979051e-04	-2.655549e-04
1.478875552479051e-04	-2.269510e-04
1.483758364979051e-04	-1.911456e-04
1.488641177479051e-04	-1.580396e-04
1.493523989979051e-04	-1.275297e-04
1.498406802479051e-04	-9.950953e-05
1.503289614979051e-04	-7.387025e-05
1.508172427479051e-04	-5.050172e-05
1.513055239979051e-04	-2.929305e-05
1.517938052479051e-04	-1.013328e-05
1.522820864979051e-04	7.087971e-06
1.527703677479051e-04	2.248000e-05
1.532586489979051e-04	3.615054e-05
1.537469302479051e-04	4.820537e-05
1.542352114979051e-04	5.874790e-05
1.547234927479051e-04	6.787891e-05
1.552117739979051e-04	7.569626e-05
1.557000552479051e-04	8.229467e-05
1.561883364979051e-04	8.776556e-05
1.566766177479051e-04	9.219686e-05
1.571648989979051e-04	9.567295e-05
1.576531802479051e-04	9.827455e-05
1.581414614979051e-04	1.000787e-04
1.586297427479051e-04	1.011586e-04
1.591180239979051e-04	1.015838e-04
1.596063052479051e-04	1.014202e-04
1.600945864979051e-04	1.007298e-04
1.605828677479051e-04	9.957120e-05
1.610711489979051e-04	9.799925e-05
1.615594302479051e-04	9.606541e-05
1.620477114979052e-04	9.381767e-05
1.625359927479052e-04	9.130072e-05
1.630242739979052e-04	8.855607e-05
1.635125552479052e-04	8.562211e-05
1.640008364979052e-04	8.253427e-05
1.644891177479052e-04	7.932510e-05
1.649773989979052e-04	7.602444e-05
1.654656802479052e-04	7.265949e-05
1.659539614979052e-04	6.925497e-05
1.664422427479052e-04	6.583327e-05
1.669305239979052e-04	6.241451e-05
1.674188052479052e-04	5.901671e-05
1.679070864979052e-04	5.565592e-05
1.683953677479052e-04	5.234629e-05
1.688836489979052e-04	4.910026e-05
1.693719302479052e-04	4.592861e-05
1.698602114979052e-04	4.284061e-05
1.703484927479052e-04	3.984411e-05
1.708367739979052e-04	3.694567e-05
1.713250552479052e-04	3.415062e-05
1.718133364979052e-04	3.146319e-05
1.723016177479052e-04	2.888661e-05
1.727898989979052e-04	2.642315e-05
1.732781802479052e-04	2.407425e-05
1.737664614979052e-04	2.184059e-05
1.742547427479052e-04	1.972217e-05
1.747430239979052e-04	1.771835e-05
1.752313052479052e-04	1.582796e-05
1.757195864979052e-04	1.404933e-05
1.762078677479052e-04	1.238038e-05
1.766961489979052e-04	1.081864e-05
1.771844302479052e-04	9.361340e-06
1.776727114979052e-04	8.005427e-06
1.781609927479052e-04	6.747624e-06
1.786492739979052e-04	5.584473e-06
1.791375552479052e-04	4.512362e-06
1.796258364979052e-04	3.527571e-06
1.801141177479052e-04	2.626298e-06
1.806023989979052e-04	1.804688e-06
1.810906802479052e-04	1.058860e-06
1.815789614979052e-04	3.849295e-07
1.820672427479052e-04	-2.209675e-07
1.825555239979052e-04	-7.626591e-07
1.830438052479052e-04	-1.243919e-06
1.835320864979052e-04	-1.668453e-06
1.840203677479052e-04	-2.039886e-06
1.845086489979052e-04	-2.361748e-06
1.849969302479052e-04	-2.637470e-06
1.854852114979052e-04	-2.870374e-06
1.859734927479052e-04	-3.063663e-06
